FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted
DGY#2071_T6_G01,266642,312474.35398,196585.117102086,37264,42997.90041,36609.2671605572,0.140432024061116,0.138836650397301,0.0703171495946614,0.122015687117224,0.43573654238745,0.159482110239605,0.000171913613409262,93070
DGY#2150_T6_H01,235559,287940.74057,246468.45570443,22330,28017.89384,39129.143975212,0.110471471366027,0.0944831676191631,0.0719168712225834,0.335622078660156,0.307159674781661,0.0605087045778773,5.79918579431448e-05,86219
DGY#2084_T6_A02,246850,281536.82397,149869.097958706,42462,46026.50478,33082.0773161625,0.17112607555176,0.168767978972976,0.0911718007369925,0.137089880991518,0.331941613518312,0.324413176408705,0.000361627983430863,91254
DGY#2086_T6_B02,235061.5,268704.71329,156165.996988241,32788,36114.89857,31081.8699534507,0.144994008587473,0.136306854359566,0.081129062964841,0.189709396010446,0.354692448741457,0.163160526754459,0.000155581485803189,89985
DGY#2089_T6_C02,260985.5,308942.5783,200540.353353945,69541.5,80056.11546,71157.1747004382,0.269975061757881,0.260516920816986,0.143622687294827,0.136318581371791,0.0575446316729661,0.679948152101692,0.0182447961484418,91807
DGY#2090_T6_D02,250997.5,299253.49456,228005.677763788,32838,38099.47453,44302.8126847347,0.139831580428278,0.124173822214711,0.0820474179184685,0.247432913849581,0.364520718673828,0.153021496244499,0.00022058742431094,90667
DGY#1972_T6_E02,250423.5,286149.8366,155103.696052931,75573.5,82915.84716,66666.2462927943,0.307284781167047,0.295327763628054,0.170519110623377,0.150318346769812,0.0249896781764054,0.655098980855733,0.0491644755427106,92038
DGY#2135_T6_F02,266748.5,301917.86794,155282.543161796,45035.5,47534.31685,36053.6065779335,0.162581172441912,0.160592149205864,0.0938168812381372,0.159834564763156,0.380834930960946,0.317741205867781,0.000204639941408354,92846
DGY#2143_T6_G02,291404,325900.42765,169992.356502139,49172.5,55158.6564,40029.4322553641,0.180342297200193,0.170061949618956,0.0832348943971999,0.0868108979391047,0.343873310934573,0.34787159439403,0.000104667106268513,95541
DGY#2144_T6_H02,248349,297053.35274,231692.294410162,28448.5,33399.98818,37086.3430588136,0.120366444800385,0.110846609850451,0.066969402973068,0.215679118837502,0.375500409174353,0.0728772698117798,8.84701302722668e-05,90426
DGY#1657_T6_A03,257626,299666.73917,176537.63907004,39329,44099.86445,33869.1381330399,0.152504064882878,0.151257578436612,0.0779695431178118,0.118970814132104,0.413473776607417,0.213989466754444,0.000307219662058372,91140
