Generation,Sample,Well,Nutrient,Pump,Strain,Population,FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted,Proportion_total,
12,ur_h_bc02 F06 16 Urea DGY1706bc Experimental,,,,,,250496,284678.9207,160652.1214,4173,25926.31179,34776.93231,0.02040258555,0.07530611218,0.07887189381,0.5299800133,0.4596935376,0.01132578281,0,3002,1.000999334,
12,ur_h_bc06 F07 20 Urea DGY1706bc Experimental,,,,,,269305.5,294783.8474,122393.481,40814,44983.88929,23624.53517,0.1486730921,0.1529542456,0.05513953436,0.04763697985,0.9335341744,0.01741668236,0,10622,0.9985878366,
12,mix_h_ctrl2,C09,Gln_Urea,25,DGY1315,2_copy_ctrl,263479.5,298252.1356,141601.4246,91564,103850.5791,53217.71263,0.3360485735,0.357452597,0.1082358678,0.005571565802,0.1955278045,0.8041733376,0.00260433344,93690,1.007877041,
12,mix_h_bc04,C10,Gln_Urea,29,DGY1706bc,Experimental,247929,277453.4374,123312.045,45953,50997.55782,24689.90193,0.1789351875,0.1876114463,0.05743917847,0.01307817658,0.9105523754,0.08000459616,4.18E-05,95732,1.003676931,
12,mix_h_bc01,D09,Gln_Urea,26,DGY1706bc,Experimental,229053.5,257456.6264,117656.0721,39585,44342.97705,22666.70877,0.1677743839,0.1749049618,0.05209655495,0.01711560045,0.940381178,0.0439684915,3.12E-05,96228,1.001496446,
12,mix_h_bc05,D10,Gln_Urea,30,DGY1706bc,Experimental,235386,261782.7571,113062.5973,41467,45804.26608,21569.72902,0.1707544848,0.178674516,0.05157788308,0.01066479275,0.9453119349,0.04572839914,8.27E-05,96767,1.0017878,
12,mix_h_ctrl0,E08,Gln_Urea,23,DGY1,0_copy_ctrl,233475,260964.6381,121302.8006,813,1266.530837,1438.053069,0.003228886298,0.005422589852,0.006624007786,0.9990466712,0.002053323556,0,0,95455,1.001099995,
12,mix_h_bc02,E09,Gln_Urea,27,DGY1706bc,Experimental,244562,271544.0991,115476.6178,49874,54319.17339,24710.24949,0.1940690105,0.2056488567,0.065950433,0.01574637169,0.8488285079,0.1407793084,4.22E-05,94879,1.005396347,
12,mix_h_bc06,E10,Gln_Urea,31,DGY1706bc,Experimental,235599,264437.9135,118809.9622,41301,46010.00641,22239.91332,0.1692841272,0.1781238311,0.05138438893,0.007578577337,0.9454921423,0.04863523573,2.07E-05,96720,1.001726634,
12,mix_h_ctrl1,F08,Gln_Urea,24,DGY500,1_copy_ctrl,261542.5,290339.4121,125622.524,53671,59344.01974,27228.55362,0.1979393572,0.2112411856,0.06699867839,0.004629336708,0.8098281135,0.1918591163,3.16E-05,94830,1.006348202,
12,mix_h_bc03,F09,Gln_Urea,28,DGY1706bc,Experimental,239649,269463.6217,122451.8453,36848,41761.47498,21103.178,0.1509370002,0.1578360912,0.04536285765,0.01051985892,0.9711700659,0.01864744671,3.07E-05,97815,1.000368042,
12,mix_h_bc07,F10,Gln_Urea,32,DGY1706bc,Experimental,230326,259673.0694,118734.8755,37758,42518.33813,21427.39683,0.1598318595,0.1672609158,0.04997691266,0.01412565973,0.9553287585,0.03125546559,5.14E-05,97199,1.000761325,
21,gln_h_ctrl0,C03,Glutamine,1,DGY1,0_copy_ctrl,240972,279073.0193,146189.7188,1007,1296.013653,1308.730123,0.003811978938,0.005194026107,0.005596864419,0.9988247312,0.001801346616,0,0,91043,1.000626078,
21,gln_h_bc02,C04,Glutamine,5,DGY1706bc,Experimental,276801,318367.6522,162595.7392,49832,55675.34658,28466.1841,0.1725350042,0.1851861762,0.06489275222,0.008153359206,0.8959188467,0.1003120421,0,89411,1.004384248,
21,gln_h_bc06,C05,Glutamine,9,DGY1706bc,Experimental,289213.5,327460.0891,164645.0237,41890,47989.90729,27553.07136,0.1430962793,0.1495619149,0.04562174906,0.01319459343,0.9696417078,0.01763570049,0,93220,1.000472002,
21,gln_h_ctrl1,D03,Glutamine,2,DGY500,1_copy_ctrl,248679,281328.3471,130011.242,50692,56191.81453,26216.23138,0.1957187768,0.2078494926,0.06533138734,0.004375788013,0.8378309653,0.1644681775,0,94383,1.006674931,
21,gln_h_bc03,D04,Glutamine,6,DGY1706bc,Experimental,260825.5,297552.349,143451.1513,51828,57216.78277,27183.22349,0.1880268117,0.2035170886,0.07291114941,0.006534165285,0.8381294179,0.1616960468,0,91672,1.00635963,
21,gln_h_bc07,D05,Glutamine,10,DGY1706bc,Experimental,232656,263100.9172,126196.6712,40857.5,45435.22005,22541.40213,0.1692212274,0.1796037161,0.05760937091,0.008859241178,0.927358431,0.0672439553,0,95042,1.003461627,
21,gln_h_ctrl2,E03,Glutamine,3,DGY1315,2_copy_ctrl,245102,277585.1605,133981.7391,83143,93687.62649,49146.05676,0.3286974345,0.3472436953,0.1104730859,0.01666437712,0.2200395211,0.772859362,8.45E-05,94633,1.009647797,
21,gln_h_bc04,E04,Glutamine,7,DGY1706bc,Experimental,258591,292451.0902,139267.3885,46223,50699.58124,24017.38732,0.1706392008,0.1822137104,0.06250928548,0.01161252863,0.9061213079,0.08708321237,0,93003,1.004817049,
21,gln_h_bc08,E05,Glutamine,11,DGY1706bc,Experimental,252391.5,284741.0251,135900.5211,38421,43053.79981,22877.63938,0.1481133339,0.154656483,0.04746841127,0.01921592355,0.9610882764,0.02091635544,0,95858,1.001220555,
21,gln_h_bc01,F03,Glutamine,4,DGY1706bc,Experimental,275993,313061.1158,148802.8064,46372,51095.96007,24507.37725,0.1601930428,0.1718920475,0.05951658449,0.009057698507,0.9299666917,0.06484366606,0,93070,1.003868056,
21,gln_h_bc05,F04,Glutamine,8,DGY1706bc,Experimental,259794,295119.8901,140038.4286,48031,52735.74993,24434.12434,0.1746670894,0.1895429628,0.06835924748,0.006537360203,0.8835593495,0.1154465395,0,92545,1.005543249,
21,ur_h_ctrl1 C06 13 Urea DGY500 1_copy_ctrl,,,,,,267515,298658.2439,133482.766,53985,60208.96326,28908.37154,0.1966264113,0.2065488174,0.05997113838,0.007388954568,0.9053369363,0.08272462422,0,94736,0.9954505151,
21,ur_h_bc03 C07 17 Urea DGY1706bc Experimental,,,,,,633168.5,645877.473,230408.9151,97786,111600.9707,64230.44076,0.1626152121,0.1625295873,0.05603444831,0.0600096193,0.7390580488,0.1985275075,0,54058,0.9975951756,
21,ur_h_bc07 C08 21 Urea DGY1706bc Experimental,,,,,,610056,629161.3671,224685.9985,96550,110220.4188,65380.31785,0.1649104551,0.1631859333,0.05861618103,0.06825556287,0.7259269523,0.2029422293,1.15E-05,86601,0.9971362917,
21,ur_h_ctrl2 D06 14 Urea DGY1315 2_copy_ctrl,,,,,,252602.5,281642.7195,126853.1802,92504.5,102689.0629,49014.12974,0.3563269633,0.3740163043,0.1064882194,0.008571190813,0.3049846051,0.6920820504,0,96136,1.005637846,
21,ur_h_bc04 D07 18 Urea DGY1706bc Experimental,,,,,,471862,489472.6085,217070.6108,82791,90038.82613,61498.35281,0.1813804237,0.1654979175,0.07522363248,0.1452273552,0.709208275,0.1434385856,0,38574,0.9978742158,
21,ur_h_bc08 D08 22 Urea DGY1706bc Experimental,,,,,,516201.5,536804.6073,204410.0366,89600,97958.02693,58998.61216,0.1787976907,0.1696807565,0.06376195317,0.09445264346,0.748328848,0.1541149405,0,46076,0.996896432,
21,ur_h_bc01 E06 15 Urea DGY1706bc Experimental,,,,,,436429.5,461887.9232,204734.5523,73912,82338.01091,56388.88403,0.177096513,0.1636064225,0.07074780213,0.1287249944,0.7568616226,0.1121712305,0,62886,0.9977578475,
